Gene_ID,amikacin,amoxicillin/clavulanic acid,ampicillin,ampicillin/sulbactam,cefalotin,cefepime,cefotaxime,cefoxitin,cefpodoxime,ceftiofur,ceftriaxone,cefuroxime,ciprofloxacin,colistin,doripenem,ertapenem,fosfomycin,gentamicin,imipenem,levofloxacin,meropenem,nitrofurantoin,norfloxacin,ofloxacin,piperacillin/tazobactam,polymyxin B,tigecycline,tobramycin,trimethoprim/sulfamethoxazole
JANIOX010000001,16.0,2.0,16.0,2.0,,8.0,16.0,16.0,,,,16.0,2.0,4.0,,1.0,,8.0,1.0,4.0,4.0,,,,16.0,,1.0,8.0,5.0
JANIOX010000002,16.0,2.0,16.0,2.0,,8.0,16.0,16.0,,,,16.0,2.0,4.0,,1.0,,8.0,1.0,4.0,4.0,,,,16.0,,1.0,8.0,5.0
JANIOX010000003,16.0,2.0,16.0,2.0,,8.0,16.0,16.0,,,,16.0,2.0,4.0,,1.0,,8.0,1.0,4.0,4.0,,,,16.0,,1.0,8.0,5.0
JANIOX010000004,16.0,2.0,16.0,2.0,,8.0,16.0,16.0,,,,16.0,2.0,4.0,,1.0,,8.0,1.0,4.0,4.0,,,,16.0,,1.0,8.0,5.0
JANIOX010000005,16.0,2.0,16.0,2.0,,8.0,16.0,16.0,,,,16.0,2.0,4.0,,1.0,,8.0,1.0,4.0,4.0,,,,16.0,,1.0,8.0,5.0
JANIOX010000006,16.0,2.0,16.0,2.0,,8.0,16.0,16.0,,,,16.0,2.0,4.0,,1.0,,8.0,1.0,4.0,4.0,,,,16.0,,1.0,8.0,5.0
JANIOX010000007,16.0,2.0,16.0,2.0,,8.0,16.0,16.0,,,,16.0,2.0,4.0,,1.0,,8.0,1.0,4.0,4.0,,,,16.0,,1.0,8.0,5.0
JANIOX010000008,16.0,2.0,16.0,2.0,,8.0,16.0,16.0,,,,16.0,2.0,4.0,,1.0,,8.0,1.0,4.0,4.0,,,,16.0,,1.0,8.0,5.0
JANIOX010000009,16.0,2.0,16.0,2.0,,8.0,16.0,16.0,,,,16.0,2.0,4.0,,1.0,,8.0,1.0,4.0,4.0,,,,16.0,,1.0,8.0,5.0
JANIOW010000001,16.0,2.0,16.0,2.0,,8.0,16.0,16.0,,,,16.0,2.0,2.0,,1.0,,8.0,1.0,4.0,4.0,,,,16.0,,1.0,8.0,5.0
